  240910 - date.vim        - Make `<C-;>` or `<A-;>` work inside Docker
  240910 - python.vim      - Make <CR> work on `class` and `async def` blocks
  240906 - [feature]       - Create a command that makes creating <Plug> mappings easier
  240906 - personal.vim    - Like you have for `command` and `mapping`, create for: `abbrev`, `function`, `hi`, `let`, `set`
  240906 - personal.vim    - Link `PrintPersonal(...)` to an fzf source. Upon selection, we should go to the file:line of the mapping / command.
  240904 - personal.vim    - Extract PrintPersonalMappings and PrintPersonalCommands into `personal.vim`
✓ 240829 - better.vim      - `jprev` shouldn’t repeat buffer in the pattern of 1-2-1-..., it should go 1-2-3-4-... by creating a unique list
✓ 240829 - better.vim      - Extract `jprev` to a separate file
✓ 240829 - better.vim      - Make `jprev` abbrev only work in 'command' mode
  240827 - run.vim         - Allow session-specific run commands which would override default if present. Useful for modifying one file launching `run` from a different file. Ideal is running and testing *.go files.
  240827 - run.vim         - If we have a two split horizontal layout, new split should be a full vertical on right hand side
✓ 240827 - todo.vim        - Make `ctrl--` insert the `-` character aligned with the next line (downwards) via `inoremap <local>` (or don’t and just continue using <CTRL-E>)
  240824 - run.vim         - Allow arbitrary commands instead of simple argument passing
  240824 - run.vim         - Allow horizontal splits for `Run` command
  240824 - grep.vim        - Make `OldfilesGrep` with an optional extension argument
  240813 - better.vim      - Fix `k and `l better changelist overflows
  240810 - [feature]       - tmux/vimterminal integration via a two hotkeys for switching and cycling
✓ 240810 - insert_word.vim - Doesn’t work when line below has multi-byte character.
✓ 240810 - todo.vim        - If the line starts with two spaces and a date instead of just a date, don’t insert a tick on <TAB>, replace the first space with a tick
✓ 240810 - todo.vim        - Add visual mode for marking tasks as done via <TAB>
  240810 - mru.vim         - If we have multiple matches with same basename, the popup should show `{dir}/basename` instead of just `basename`. Test case: `:MRU todo.txt`
✓ 240810 - insert_word.vim - Wordwise completion for CTRL-E and CTRL-Y with leading whitespace completion
✓ 240810 - ide.vim         - Wordwise completion for copilot suggestions
✓ 240810 - insert_word.vim - Wordwise completion for CTRL-E and CTRL-Y with leading whitespace completion
  240810 - [feature]       - Create harpoon type shortcut for switching between main 3-4 files via `h`
  240810 - better.vim      - Create mapping for `JPrevious`
✓ 240810 - better.vim      - `JPrevious` should possible ignore empty buffers
✓ 240806 - todo.vim        - Prevent `Syntax function` overrides from breaking global syntax fn. E.g., switching b/w a `*.py` file and a `todo.txt`
✓ 240806 - ide.vim         - Use python rope package to extract visual selection to a function
  240806 - todo.vim        - Make a command `Todo` where autocomplete it dir’s like `.vim`, `hateoas` and you can select the todo file
  240805 - inline.vim      - Make inlining work on the case where we do `<leader>i` on the reference/usage of the variable instead of the definition. Unlike the defintion case, the cursor position would matter over here.
  240805 - inline.vim      - Make inlining work on the case where lines aren’t consecutive, but we know that there is only one usage of the variable somewhere after the definition
  240804 - template.vim    - Streamline data/ and .gitkeep patterns, to make it work for nested `data/` directories as well
✓ 240804 - inline.vim      - Make undo a single `u` command after we do `<leader>i`
✓ 240804 - inline.vim      - Preserve jumps on `undo` after `<leader>i`
